FLWS	1-800 FLOWERS.COM	FLWS Profile	FLWS Analysis
XXII	22nd Century Group, Inc.	XXII Profile	XXII Analysis
DDD	3D SYSTEMS	DDD Profile	DDD Analysis
MMM	3M	MMM Profile	MMM Analysis
EGHT	8X 8 INC	EGHT Profile	EGHT Analysis
SHLM	A SCHULMAN	SHLM Profile	SHLM Analysis
AAON	AAON	AAON Profile	AAON Analysis
AIR	AAR	AIR Profile	AIR Analysis
AAN	AARON'S	AAN Profile	AAN Analysis
ABAX	ABAXIS	ABAX Profile	ABAX Analysis
ABT	ABBOTT LABORATORIES	ABT Profile	ABT Analysis
ABBV	ABBVIE INC	ABBV Profile	ABBV Analysis
ANF	ABERCROMBIE & FITCH	ANF Profile	ANF Analysis
ABMD	ABIOMED	ABMD Profile	ABMD Analysis
ABM	ABM INDUSTRIES	ABM Profile	ABM Analysis
AXAS	Abraxas Petroleum Corp.	AXAS Profile	AXAS Analysis
ACTG	ACACIA RESEARCH	ACTG Profile	ACTG Analysis
ACHC	ACADIA HEALTH CARE CO	ACHC Profile	ACHC Analysis
ACAD	ACADIA PHARMACEUTICALS	ACAD Profile	ACAD Analysis
AKR	ACADIA REALTY TRUST	AKR Profile	AKR Analysis
AXDX	Accelerate Diagnostics, Inc.	AXDX Profile	AXDX Analysis
XLRN	Acceleron Pharma, Inc.	XLRN Profile	XLRN Analysis
ACN	ACCENTURE	ACN Profile	ACN Analysis
ACCO	ACCO BRANDS	ACCO Profile	ACCO Analysis
ARAY	ACCURAY	ARAY Profile	ARAY Analysis
ACW	ACCURIDE	ACW Profile	ACW Analysis
ACE	ACE	ACE Profile	ACE Analysis
ACRX	ACELRX PHARMACEUTICALS	ACRX Profile	ACRX Analysis
ACET	ACETO	ACET Profile	ACET Analysis
AKAO	Achaogen, Inc.	AKAO Profile	AKAO Analysis
ACHN	ACHILLION PHARMACEUTICALS	ACHN Profile	ACHN Analysis
ACIW	ACI WORLDWIDE	ACIW Profile	ACIW Analysis
ACOR	ACORDA THERAPEUTICS	ACOR Profile	ACOR Analysis
ACT	Actavis plc	ACT Profile	ACT Analysis
ATVI	ACTIVISION BLIZZARD	ATVI Profile	ATVI Analysis
ATU	ACTUANT	ATU Profile	ATU Analysis
BIRT	ACTUATE	BIRT Profile	BIRT Analysis
AYI	ACUITY BRANDS	AYI Profile	AYI Analysis
ACXM	ACXIOM	ACXM Profile	ACXM Analysis
AE	ADAMS RESOURCES & ENERGY	AE Profile	AE Analysis
ADUS	ADDUS HOMECARE	ADUS Profile	ADUS Analysis
ADBE	ADOBE SYSTEMS	ADBE Profile	ADBE Analysis
ASC	ADSTAR	ASC Profile	ASC Analysis
ADT	ADT CORP	ADT Profile	ADT Analysis
ADTN	ADTRAN	ADTN Profile	ADTN Analysis
AAP	ADVANCE AUTO PARTS	AAP Profile	AAP Analysis
ADES	Advanced Emissions Solutions, Inc.	ADES Profile	ADES Analysis
